:1:Adams, Michael:Sedgwick, David:1:
:2:Adams, Michael:Dickenson, Neil F:1:
:3:Hebden, Mark:Adams, Michael:1:
:4:Pasman, Michael:Adams, Michael:-1:
:5:Adams, Michael:Levitt, Jonathan:0:
:6:Adams, Michael:Saeed, Saeed Ahmed:1:
:7:Adams, Michael:Singh, Sukh Dave:0:
:8:Abayasekera, Roger:Adams, Michael:1:
:9:Adams, Michael:Jackson, Sheila:0:
:10:Muir, Andrew J:Adams, Michael:0:
:11:Adams, Michael:Mooney, David P:1:
:12:Bowden, Karl:Adams, Michael:0:
:13:Adams, Michael:Waddingham, Graham A:0:
:14:Wiley, Tom E:Adams, Michael:-1:
:15:Adams, Michael:McNab, Colin Anderson:-1:
:16:Barua, Dibyendu:Adams, Michael:1:
:17:Adams, Michael:Hindle, Owen M:0:
:18:Bowden, Karl:Adams, Michael:1:
:19:Adams, Michael:Blatny, Pavel:-1:
:20:Anand, Viswanathan:Adams, Michael:1:
:21:Adams, Michael:Hennigan, Michael:1:
:22:Adams, Michael:Wells, Peter K:0:
:23:Emms, John M:Adams, Michael:0:
:24:MacFarlane, D.:Adams, Michael:1:
:25:Adams, Michael:Schandorff, Lars:0:
:26:Buckmire, Ron:Adams, Michael:1:
:27:Adams, Michael:Ludvigsen, Frode:1:
:28:Levitt, Jonathan:Adams, Michael:-1:
:29:Adams, Michael:Bowden, Karl:1:
:30:Norwood, David:Adams, Michael:0:
:31:Adams, Michael:Kosten, Anthony C:0:
:32:Adams, Michael:Conquest, Stuart:1:
:33:Plaskett, Jim:Adams, Michael:0:
:34:Watson, William N:Adams, Michael:-1:
:35:Adams, Michael:Mestel, A Jonathan:-1:
:36:Prasad, Devaki V:Adams, Michael:0:
:37:Adams, Michael:McDonald, Neil R:0:
:38:Adams, Michael:Hodgson, Julian M:0:
:39:Adams, Michael:Basagic, Zlatko:1:
:40:Adams, Michael:Szekely, Peter:1:
:41:Fishbein, Alexander:Adams, Michael:0:
:42:Jacobs, Byron A:Adams, Michael:-1:
:43:Adams, Michael:Mannion, Stephen R:1:
:44:Adams, Michael:Whiteley, Andrew J:1:
:45:Adams, Michael:Lane, Gary W:0:
:46:Adams, Michael:Fatin, Tarek:-1:
:47:Adams, Michael:Arkell, Keith C:0:
:48:Martin, Andrew D:Adams, Michael:0:
:49:Rayner, Francis:Adams, Michael:-1:
:50:Vlahos, Kiriakos:Adams, Michael:-1:
:51:Summerscale, Aaron:Adams, Michael:-1:
:52:Anand, Viswanathan:Adams, Michael:1:
:53:Dunnington, Angus J:Adams, Michael:-1:
:54:Adams, Michael:Short, Nigel D:-1:
:55:Adams, Michael:Plaskett, Jim:1:
:56:Adams, Michael:Martin, Andrew D:1:
:57:Adams, Michael:King, Daniel J:0:
:58:Adams, Michael:Howell, James C:0:
:59:Adams, Michael:Carton, Niall:1:
:60:Pritchett, Craig William:Adams, Michael:1:
:61:Hergott, Deen:Adams, Michael:-1:
:62:Hodgson, Julian M:Adams, Michael:-1:
:63:Ivanov, Igor V:Adams, Michael:1:
:64:McNab, Colin Anderson:Adams, Michael:-1:
:65:Cooper, P.:Adams, Michael:-1:
:66:Adams, Michael:Hernandez, Eduardo:1:
:67:Ivanchuk, Vassily:Adams, Michael:0:
:68:Adams, Michael:Polgar, Zsuzsa:0:
:69:Blatny, Pavel:Adams, Michael:1:
:70:Adams, Michael:Lin Weiguo:-1:
:71:Canfell, Gregory:Adams, Michael:-1:
:72:Adams, Michael:Comas Fabrego, Luis:1:
:73:Serper, Grigory:Adams, Michael:1:
:74:Adams, Michael:Paneque, Pedro:1:
:75:Hansen, Lars Bo:Adams, Michael:1:
:76:Adams, Michael:Rachels, Stuart:1:
:77:Manor, Ilan:Adams, Michael:1:
:78:Adams, Michael:Aschwanden, Franz Beat:1:
:79:Djurhuus, Rune:Adams, Michael:1:
:80:Van der Werf, Mark:Adams, Michael:0:
:81:Adams, Michael:MacKay, Ian D:1:
:82:Adams, Michael:Van Wely, Loek:0:
:83:Hansen, Mads Smith:Adams, Michael:0:
:84:Adams, Michael:Thorhallsson, Throstur:1:
:85:Adams, Michael:Wahls, Matthias:-1:
:86:Manca, Federico:Adams, Michael:-1:
:87:Adams, Michael:Gelfand, Boris:-1:
:88:Horvath, Csaba:Adams, Michael:0:
:89:Dreev, Alexey:Adams, Michael:1:
:90:Adams, Michael:Kula, Robert:0:
:91:Adams, Michael:Dunnington, Angus J:0:
:92:Adams, Michael:Bell, Stephen:1:
:93:Adams, Michael:Chandler, Murray G:0:
:94:Adams, Michael:Conquest, Stuart:-1:
:95:Adams, Michael:Beaumont, Chris:-1:
:96:Adams, Michael:Pigott, John C:1:
